	## New DIPLOMACY strings ##

##
## Regard Events
##

REGARD_EVENT_LOST_BATTLE "Diese Nation ärgert sich noch immer über die Schlacht, die sie gegen uns verloren hat."
REGARD_EVENT_STOP_RESEARCH_VIOLATION "Sie sind verärgert, weil wir uns nicht an die Zusage gehalten haben, unsere Forschungsarbeiten einzustellen."
REGARD_EVENT_PROPOSAL_REDUCE_POLLUTION "Diese Nation hatte uns gebeten, unsere Umweltverschmutzung zu senken. Sie sind enttäuscht, dass wir ihren Erwartungen bisher noch nicht entsprochen haben."
REGARD_EVENT_PROPOSAL_POLLUTION_PACT "Diese Nation ist sehr ungehalten darüber, dass wir uns nicht an das mit ihnen vereinbarte Umweltschutzabkommen gehalten haben."
REGARD_EVENT_EMBARGO_TRADE "Sie sind empört darüber, dass wir ein Handelsembargo gegen sie verhängt haben."
REGARD_EVENT_VIOLATED_ALLIANCE "Sie werden uns nie vergeben, dass wir gegen unsere Allianzvereinbarungen mit dieser Nation verstoßen haben!"
REGARD_EVENT_VIOLATED_WITHDRAW_TROOPS "Sie sind empört, dass wir unsere Truppen nicht wie vereinbart von ihrem Territorium abgezogen haben."
REGARD_EVENT_CAPTURED_CITY "Anscheinend nehmen sie uns noch immer übel, dass wir in der Vergangenheit einige ihrer Städte erobert haben."
REGARD_EVENT_HOLD_RECEPTION "Die Gesandten {player[0].civ_name_plural#ARTICLE_GEN} sind von dem großen Empfang, den unsere Diplomaten gegeben haben, nachhaltig beeindruckt."
REGARD_EVENT_VIOLATE_TRADE_PACT "Unser Handelsembargo gegen sie war ein Verstoß gegen unser Abkommen und das haben sie uns noch nicht verziehen."
REGARD_EVENT_VIOLATED_MILITARY_PACT "Unsere Weigerung, uns an das mit dieser Nation geschlossene Militärabkommen zu halten, hat zu diplomatischen Unstimmigkeiten geführt. Sie fühlen sich hintergangen."
REGARD_EVENT_VIOLATED_POLLUTION_PACT "Sie sind sehr verärgert, weil wir uns weigern, das mit dieser Nation geschlossene Umweltschutzabkommen einzuhalten."
REGARD_EVENT_STEAL_TECHNOLOGY "Die {player[0].civ_name_plural } sind sehr erbost darüber, dass wir ihre Technologie gestohlen haben."
REGARD_EVENT_ENEMY_INCITED_REVOLUTION "Es ist nicht unbemerkt geblieben, dass wir den Rebellen in den {player[0].civ_name_singular#UNDEF_SINGULAR_DAT} Städten in jüngster Vergangenheit unsere Unterstützung gewährt haben."
REGARD_EVENT_ENEMY_ASSASSINATED_RULER "Sie protestieren gegen unsere Beteiligung an den Anschlägen auf prominente Persönlichkeiten in {player[0].country_name}."
REGARD_EVENT_ENEMY_FRANCHISED_CITY "Es ist alles bereit, um ihre Nation mit Hilfe von Franchising-Unternehmen wirtschaftlich zu unterwandern."
REGARD_EVENT_ENEMY_PLANTED_NUKE "Sie wissen, dass unsere Agenten für die Zündung der Nuklearrakete verantwortlich zeichnen, die die {player[0].civ_name_singular#UNDEF_SINGULAR_DAT} Ländereien verwüstet hat. Vermutlich werden Sie uns das niemals verzeihen."
REGARD_EVENT_ENEMY_SLAVE_RAIDED_CITY "Verständlicherweise sind sie sehr erbost, weil wir {player[0].civ_name_singular#UNDEF_PLURAL_ACC} Bürger versklavt haben."
REGARD_EVENT_ENEMY_LAWSUIT "Wegen der rechtlichen Rückschläge, die sie durch unsere Anwälte hinnehmen mussten, herrscht eine gewisse Antipathie vor."
REGARD_EVENT_ENEMY_EXPELLED_UNITS "Sie protestieren gegen unsere Vertreibung {player[0].civ_name_singular#UNDEF_PLURAL_NOM} Einheiten von unserem Territorium."
REGARD_EVENT_ENEMY_NUKED_CITY "Die {player[0].civ_name_plural} werden uns wohl niemals verzeihen können, dass wir ihr Land dieser furchtbaren nuklearen Zerstörung ausgesetzt haben."
REGARD_EVENT_ENEMY_ENSLAVED_SETTLER "Durch die Versklavung {player[0].civ_name_singular#UNDEF_PLURAL_NOM} Siedler haben wir uns den Zorn dieser Nation zugezogen."
REGARD_EVENT_ENEMY_FREED_SLAVES "Die mächtige Elite {player[0].country_name#OF_POSSESSIVE_S} nimmt uns übel, dass wir versuchen, ihre Sklaven zu befreien."
REGARD_EVENT_ENEMY_INCITED_UPRISING "{player[0].country_name} hat gegen unsere Mitwirkung an der Auslösung der gewalttätigen Aktionen protestiert, die sich in jüngster Vergangenheit in ihren Städten zugetragen haben."
REGARD_EVENT_ENEMY_BIO_INFECTED_CITY "Durch den Einsatz unserer Biowaffen haben wir für alle Zeiten unser Ansehen bei den {player[0].civ_name_plural#DAT} verspielt."
REGARD_EVENT_ENEMY_PLAGUED_CITY "Nachdem wir die biologische Kriegsführung angewendet haben, herrschen zwischen den {player[0].civ_name_plural#DAT} und uns erhebliche diplomatische Unstimmigkeiten."
REGARD_EVENT_ENEMY_NANO_INFECTED_CITY "Über die Tatsache, dass wir unsere Nanotechnologie eingesetzt haben, um {player[0].civ_name_singular#UNDEF_PLURAL_ACC} Städte zu infizieren, ist noch längst kein Gras gewachsen."
REGARD_EVENT_ENEMY_CREATED_PARK "Die {player[0].civ_name_plural} fürchten und verabscheuen uns, weil wir unsere Nanotechnologie für zerstörerische Zwecke einsetzen."
REGARD_EVENT_ENEMY_INJOINED_CITY "Weil wir Handelsembargos als Mittel einsetzen, um die Produktivität {player[0].civ_name_singular#UNDEF_PLURAL_NOM} Städte zu schwächen, ist es zum Bruch zwischen unseren Nationen gekommen."
REGARD_EVENT_ENEMY_PILLAGED "Sie sind völlig außer sich, weil unsere Truppen ihre Feld-Modernisierungen geplündert haben."

##
## Motivations
## 

MOTIVATION_ENLIST_FRIENDS_ADVICE "Wir befreundete Nationen um Hilfe bitten, um unsere Feinde auszulöschen."
MOTIVATION_FEAR_SCIENCE_ADVICE "Unsere mangelnden technologischen Fortschritte gefährden unsere militärische Schlagkraft. Wenn wir im Gefecht nicht unterlegen sein wollen, müssen wir mehr forschen."
MOTIVATION_FEAR_MILITARY_ADVICE "Aufgrund unseres schwachen Militärpotenzials könnten wir einer Invasion vermutlich nicht standhalten. Wir sollten Allianzen schließen, um unsere Position zu stärken. "
MOTIVATION_FEAR_TRADE_ADVICE "Um als Nation konkurrenzfähig zu bleiben, müssen wir unsere Wirtschaft ankurbeln, indem wir unsere Handelswege in andere Länder erweitern und Handelsabkommen schließen."
MOTIVATION_FEAR_TECHNOLOGY_ADVICE "Wenn wir unsere Forschungen nicht weiter vorantreiben, werden unsere Truppen bald am Ende ihrer Kräfte sein."
MOTIVATION_STOP_PIRACY_ADVICE "Unsere Handelswege werden von feindlichen Truppen angegriffen. Wir sollten dieser Situation auf diplomatischem Wege begegnen."
MOTIVATION_MAKE_FRIEND_ADVICE "Wir sollten uns mit stärkeren Nationen verbünden, um unsere Ziele schneller und gefahrloser zu erreichen."
MOTIVATION_DESIRE_SCIENCE_ADVICE "Wir hinken der Technologie unserer Gegner hinterher. Vielleicht können wir auf diplomatischem Wege etwas dazulernen."
MOTIVATION_DESIRE_GOLD_ADVICE "Wir könnten mehr Gold in unseren Staatskassen gebrauchen, damit wir unsere unmittelbaren Ziele schneller erreichen."
MOTIVATION_FEAR_CITY_DEFENSE_ADVICE "Die Stadt {city[0].name} läuft Gefahr, in die Hände des Feindes zu fallen. Wir sollten versuchen zu verhandeln."
MOTIVATION_FEAR_POLLUTION_ADVICE "Umweltverschmutzung und globale Erwärmung werden bald zu weltweiten ökologischen Katastrophen führen. Wir sollten unseren Schadstoffausstoß senken und auch andere Nationen dazu auffordern."

##
##  Miscellaneous Diplomacy Strings
##

DIP_ADVISOR_INCOMING_MESSAGE "{player[1].leader_name}, ein Gesandter {player[0].civ_name_plural#ARTICLE_GEN} hat uns eine Nachricht seines Staatsoberhauptes überbracht."

##
##  Diplomacy Greetings
##

DIP_GREETING_FIRST_FOREIGN_0 "{player[0].leader_name}, das Staatsoberhaupt {player[0].civ_name_plural#ARTICLE_GEN}, sendet Ihnen Grüße! Sie werden sehen: Wir sind ein rechtschaffenes Volk."
DIP_GREETING_FIRST_FOREIGN_1 "{player[0].leader_name} vom Volk {player[0].civ_name_plural#ARTICLE_GEN} übermittelt Ihnen nachbarschaftliche Grüße. Wir hoffen, dass wir gemeinsam den Weg des Friedens beschreiten werden."
DIP_GREETING_FIRST_FOREIGN_2 "{player[0].leader_name} vom Volk {player[0].civ_name_plural#ARTICLE_GEN} lässt Ihnen Grüße ausrichten. Wir mögen ein demütiges Volk sein, doch auch wir streben nach Macht."
DIP_GREETING_FIRST_FOREIGN_3 "Ich überbringe hochachtungsvolle Grüße des mächtigen Volkes {player[0].civ_name_plural#ARTICLE_GEN}. Unser Staatsoberhaupt {player[0].leader_name} duldet keine krummen Touren!"
DIP_GREETING_FIRST_FOREIGN_4 "{player[0].leader_name}, das Staatsoberhaupt des stolzen Volkes {player[0].civ_name_plural#ARTICLE_GEN}, sendet Ihnen Grüße!! Erweisen Sie uns Respekt oder tragen Sie die Konsequenzen!!"

##
## Proposal names
##
DIP_NONE "Keine Mitteilung"
DIP_OFFER_GIVE_CITY "Stadt anbieten..."
DIP_REQUEST_GIVE_CITY "Stadt fordern..."
DIP_OFFER_WITHDRAW_TROOPS "Truppenabzug anbieten"
DIP_REQUEST_WITHDRAW_TROOPS "Truppenabzug fordern"
##CUTDIP_OFFER_WITHDRAW_TROOPS_FROM_ALLIE "Abzug von Verbündetem anbieten..."
##CUTDIP_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE "Abzug von Verbündetem fordern..."
##CUTDIP_OFFER_INVADE "Invasion anbieten..."
##CUTDIP_REQUEST_INVADE "Invasion fordern..."
DIP_OFFER_STOP_PIRACY "Pirateriestopp anbieten"
DIP_REQUEST_STOP_PIRACY "Pirateriestopp fordern"
DIP_OFFER_BREAK_AGREEMENT "Bündnisverstoß anbieten..."
DIP_REQUEST_BREAK_AGREEMENT "Bündnisverstoß fordern..."
DIP_OFFER_STOP_RESEARCH "Forschungsstopp anbieten"
DIP_REQUEST_STOP_RESEARCH "Forschungsstopp fordern"
DIP_OFFER_REDUCE_NUCLEAR_WEAPONS "Nuklearwaffenabrüstung anbieten"
DIP_REQUEST_REDUCE_NUCLEAR_WEAPONS "Nuklearwaffenabrüstung fordern"
DIP_OFFER_REDUCE_BIO_WEAPONS "Biowaffenabrüstung anbieten"
DIP_REQUEST_REDUCE_BIO_WEAPONS "Biowaffenabrüstung fordern"
DIP_OFFER_REDUCE_NANO_WEAPONS "Nanowaffenabrüstung anbieten"
DIP_REQUEST_REDUCE_NANO_WEAPONS "Nanowaffenabrüstung fordern"
DIP_OFFER_GIVE_ADVANCE "Neuerung anbieten..."
DIP_REQUEST_GIVE_ADVANCE "Neuerung fordern..."
DIP_OFFER_GIVE_GOLD "Gold anbieten..."
DIP_REQUEST_GIVE_GOLD "Gold fordern..."
##CUTDIP_OFFER_GIVE_ANNUAL_GOLD "Jährlichen Goldtribut anbieten..."
##CUTDIP_REQUEST_GIVE_ANNUAL_GOLD "Jährlichen Goldtribut fordern..."
DIP_OFFER_REDUCE_POLLUTION "Umweltschutz anbieten"
DIP_REQUEST_REDUCE_POLLUTION "Umweltschutz fordern"
DIP_OFFER_MAP "Karte anbieten"
DIP_REQUEST_MAP "Karte fordern"
DIP_OFFER_HONOR_MILITARY_AGREEMENT "Einhaltung des Militärabkommens anbieten ..."
DIP_REQUEST_HONOR_MILITARY_AGREEMENT "Einhaltung des Militärabkommens fordern ..."
DIP_OFFER_HONOR_POLLUTION_AGREEMENT "Einhaltung des Umweltschutzabkommens anbieten ..."
DIP_REQUEST_HONOR_POLLUTION_AGREEMENT "Einhaltung des Umweltschutzabkommens fordern ..."
DIP_OFFER_END_EMBARGO "Ende des Handelsembargos anbieten"
DIP_REQUEST_END_EMBARGO "Ende des Handelsembargos fordern"
DIP_TREATY_DECLARE_WAR "Krieg erklären..."
DIP_TREATY_CEASEFIRE "Waffenstillstand"
DIP_TREATY_PEACE "Friedensabkommen"
DIP_TREATY_TRADE_PACT "Handelsabkommen"
DIP_TREATY_RESEARCH_PACT "Forschungsabkommen"
DIP_TREATY_MILITARY_PACT "Militärabkommen"
DIP_TREATY_POLLUTION_PACT "Umweltschutzabkommen"
DIP_TREATY_ALLIANCE "Bündnis"

##
## Proposal Details
##
DIP_DETAILS_NONE_0 "Entfällt (Tone 0)"
DIP_DETAILS_NONE_1 "Entfällt (Tone 1)"
DIP_DETAILS_NONE_2 "Entfällt (Tone 2)"
DIP_DETAILS_NONE_3 "Entfällt (Tone 3)"
DIP_DETAILS_NONE_4 "Entfällt (Tone 4)"
DIP_DETAILS_NONE_EX_0  "Als Gegenleistung NONE (Tone 0)"
DIP_DETAILS_NONE_EX_1  "Als Gegenleistung NONE (Tone 1)"
DIP_DETAILS_NONE_EX_2  "Als Gegenleistung NONE (Tone 2)"
DIP_DETAILS_NONE_EX_3  "Als Gegenleistung NONE (Tone 3)"
DIP_DETAILS_NONE_EX_4  "Als Gegenleistung NONE (Tone 4)"
DIP_DETAILS_OFFER_GIVE_CITY_0  "Um unsere Hochachtung für Ihr Volk zum Ausdruck zu bringen, möchten wir Ihnen die Stadt {city[0].name} überlassen."
DIP_DETAILS_OFFER_GIVE_CITY_1  "Zum Zeichen unserer freundschaftlichen Verbundenheit möchten wir Ihnen gern die Stadt {city[0].name} überlassen."
DIP_DETAILS_OFFER_GIVE_CITY_2  "Bitte erlauben Sie uns, Ihnen untertänigst die Stadt {city[0].name} zu überlassen."
DIP_DETAILS_OFFER_GIVE_CITY_3  "Wir sind bereit, Ihnen die Stadt {city[0].name} zu überlassen."
DIP_DETAILS_OFFER_GIVE_CITY_4  "Also schön, Sie können die Stadt {city[0].name} haben, aber das war's dann."
DIP_DETAILS_OFFER_GIVE_CITY_EX_0  "Als Gegenleistung würden wir Ihnen die Stadt {city[0].name} überlassen - aber bitte behandeln Sie die Bewohner gut."
DIP_DETAILS_OFFER_GIVE_CITY_EX_1  "Als Gegenleistung würden wir Ihnen die Stadt {city[0].name} überlassen und hoffen, damit die Freundschaft zwischen unseren Völkern festigen zu können."
DIP_DETAILS_OFFER_GIVE_CITY_EX_2  "Dafür würden wir Ihnen gern die Stadt {city[0].name} überlassen - auf dass sich Ihre großartige Nation weiter ausdehnen möge."
DIP_DETAILS_OFFER_GIVE_CITY_EX_3  "Dafür wären wir bereit, Ihnen die Stadt {city[0].name} zu überlassen."
DIP_DETAILS_OFFER_GIVE_CITY_EX_4  "Zum Ausgleich sollen Sie dafür die Stadt {city[0].name} haben."
DIP_DETAILS_REQUEST_GIVE_CITY_0  "Obwohl wir wissen, dass Sie die Grenzen Ihres Reiches erweitern wollen, müssen wir darauf bestehen, dass Sie uns die Stadt {city[0].name} überlassen."
DIP_DETAILS_REQUEST_GIVE_CITY_1  "Wir bitten Sie höflichst, uns die Stadt {city[0].name} zu überlassen."
DIP_DETAILS_REQUEST_GIVE_CITY_2  "Wir möchten Sie inständig bitten, uns so schnell wie möglich die Stadt {city[0].name} zu überlassen."
DIP_DETAILS_REQUEST_GIVE_CITY_3  "Überlassen Sie uns die Stadt {city[0].name} und ermöglichen Sie den Bürgern, sich unserer modernen Gesellschaft anschließen zu dürfen."
DIP_DETAILS_REQUEST_GIVE_CITY_4  "Übergeben Sie uns auf der Stelle die Stadt {city[0].name}!!"
DIP_DETAILS_REQUEST_GIVE_CITY_EX_0  "Außerdem bitten wir Sie, uns als Gegenleistung die Stadt {city[0].name} zu übergeben."
DIP_DETAILS_REQUEST_GIVE_CITY_EX_1  "Außerdem bitten wir Sie, uns dafür die Stadt {city[0].name} zu übergeben und so den Frieden zu wahren."
DIP_DETAILS_REQUEST_GIVE_CITY_EX_2  "Außerdem bitten wir Sie inständig, uns freundlicherweise die Stadt {city[0].name} zu überlassen."
DIP_DETAILS_REQUEST_GIVE_CITY_EX_3  "Außerdem wären Sie gut beraten, uns unverzüglich die Stadt {city[0].name} zu übergeben, um weitere Maßnahmen zu vermeiden."
DIP_DETAILS_REQUEST_GIVE_CITY_EX_4  "Als Gegenleistung fordern wir, dass Sie uns mit sofortiger Wirkung die Stadt {city[0].name} überlassen!!"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_0 "Um den Frieden zu wahren, sind wir bereit, unsere Truppen aus Ihrem Territorium abzuziehen."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_1  "Zum Wohle unserer guten Beziehungen sind wir bereit, unsere Truppen aus Ihrem Territorium abzuziehen."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_2  "Wir sind bereit, unsere Truppen so schnell wie möglich aus Ihrem Territorium abzuziehen, denn wir wollen Sie nicht verärgern."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_3  "Wir sind bereit, unsere Truppen aus Ihrem kümmerlichen Reich abzuziehen."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_4  "Wir sind bereit, unsere Truppen aus Ihrem Territorium abzuziehen, aber glauben Sie nicht, dass wir jetzt immer so gnädig sein werden."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_0  "Dafür würden wir uns auch bereit erklären, unsere Truppen aus Ihrem Territorium abzuziehen."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_1  "Dafür würden wir auch unsere Truppen aus Ihrem Territorium abziehen, denn schließlich wollen wir unsere Freundschaft nicht gefährden."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_2  "Im Austausch würden wir den zügigen Abzug unserer Truppen aus Ihrem Territorium anordnen. Bitte verzeihen Sie unser Eindringen."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_3  "Als Gegenleistung würden wir dafür unsere Truppen aus Ihrem mickrigen Reich abziehen."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_EX_4  "Als Gegenleistung erklären wir uns bereit, unsere Truppen aus Ihrem jämmerlichen kleinen Reich abzuziehen."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_0  "Es wäre unseren Beziehungen sehr förderlich, wenn Sie möglichst schnell Ihre Truppen aus unserem Territorium abziehen würden."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_1  "Wir fordern den Abzug Ihrer Truppen aus unserem Territorium, denn wir sollten uns lieber bemühen, gut miteinander auszukommen."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_2  "Ehrenwertes Staatsoberhaupt {player[1].civ_name_plural#ARTICLE_GEN}, für den Abzug Ihrer Truppen aus unserem Territorium wären wir Ihnen zutiefst verbunden."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_3  "Wenn Sie keine Gegenmaßnahmen heraufbeschwören wollen, sollten Sie Ihre Truppen aus unserem Territorium abziehen."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_4  "Wollen Sie uns etwa provozieren? Wir raten Ihnen dringend, unverzüglich Ihre Truppen aus unserem Territorium abzuziehen!!"
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_0  "Außerdem bitten wir Sie um den Abzug Ihrer Truppen aus unserem Territorium, sonst müssen wir womöglich selbst militärische Maßnahmen ergreifen."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_1  "Außerdem würden wir es - schon allein wegen der Wahrung des Friedens - begrüßen, wenn Sie Ihre Truppen aus unserem Territorium abziehen würden."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_2  "Außerdem flehen wir Sie an, Ihre Truppen aus unserem Territorium abzuziehen, damit der Friede gewahrt bleibt."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_3  "Außerdem müssen wir Sie bitten, zum Ausgleich Ihre Truppen aus unserem Territorium abzuziehen! Ihr Vorgehen ist unangebracht feindseliger Natur."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_EX_4  "Dafür verlangen wir, dass Sie sofort Ihre Truppen aus unserem Territorium abziehen!! Sie sollten nicht so dumm sein, uns provozieren zu wollen!"
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_0  "Wir sind bereit, unsere Truppen aus dem Territorium {player[2].country_name#OF_POSSESSIVE_S} abziehen und die dortige Bevölkerung nicht mehr zu belästigen."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_1  "Verehrtes Staatsoberhaupt {player[1].civ_name_plural#ARTICLE_GEN}, wir sind bereit, unsere Truppen schnellstmöglich {player[2].country_name#FROM_SOMEWHERE} abzuziehen."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_2  "Wir sind bereit, für einen schnellen Abzug unserer Truppen {player[2].country_name#FROM_SOMEWHERE} zu sorgen, denn nichts liegt uns ferner, als Sie provozieren zu wollen."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_3  "Wir sind bereit, unsere Truppen so bald wie möglich {player[2].country_name#FROM_SOMEWHERE} abzuziehen. Schließlich stellen Ihre beiden Reiche keine Bedrohung für uns dar."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_4  "Wir sind bereit, unsere Truppen {player[2].country_name#FROM_SOMEWHERE} abzuziehen, aber wir werden nicht immer so gnädig sein."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_0  "Dafür würden wir unsere Truppen {player[2].country_name#FROM_SOMEWHERE} abziehen - schließlich wollen wir den Frieden wahren."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_1  "Zum Ausgleich würden wir unsere Truppen {player[2].country_name#FROM_SOMEWHERE} abziehen und Ihr Bündnis respektieren."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_2  "Dafür wären wir bereit, unsere Truppen mit sofortiger Wirkung {player[2].country_name#FROM_SOMEWHERE} abzuziehen."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_3  "Zum Ausgleich würden wir uns {player[2].country_name#FROM_SOMEWHERE} zurückziehen, wenn Sie es wünschen."
DIP_DETAILS_OFFER_WITHDRAW_TROOPS_FROM_ALLIE_EX_4  "Im Austausch würden wir uns bereit erklären, uns vorläufig {player[2].country_name#FROM_SOMEWHERE} zurückzuziehen."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_0  "Wir würden es begrüßen, wenn Sie Ihre Truppen {player[2].country_name#FROM_SOMEWHERE} abziehen würden, denn wir sehen es nicht gern, wenn unsere Verbündeten bedroht werden."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_1  "Wir bitten Sie, Ihre Truppen {player[2].country_name#FROM_SOMEWHERE} abzuziehen. Dieses Land ist mit uns verbündet und Gefechte in dieser Region wären nicht in unserem Sinne."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_2  "Bitte ziehen Sie Ihre Truppen {player[2].country_name#FROM_SOMEWHERE} ab. Wir sind diesem Land freundschaftlich zugetan und würden es missbilligen, wenn es angegriffen würde."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_3  "Wir fordern Sie auf, schleunigst Ihre Militärpräsenz {player[2].country_name#FROM_SOMEWHERE} zu entfernen. Sie verletzen die Souveränität dieser Nation."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_4  "Befehlen Sie den sofortigen Rückzug Ihrer Truppen {player[2].country_name#FROM_SOMEWHERE}!! Wenn Sie dieses Reich angreifen, bekommen Sie es auch mit uns zu tun."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_0  "Im Austausch dafür würden wir es gerne sehen, wenn Sie Ihre Truppen vollständig {player[2].country_name#FROM_SOMEWHERE}, einem mit uns verbündeten Land, abziehen würden."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_1  "Zum Ausgleich würden wir es als Geste des guten Willens anerkennen, wenn Sie Ihren Truppen den Rückzug {player[2].country_name#FROM_SOMEWHERE} befehlen würden."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_2  "Im Austausch wären wir dankbar, wenn Sie Ihre Truppen {player[2].country_name#FROM_SOMEWHERE} entfernen würden."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_3  "Als Gegenleistung fordern wir, dass Sie Ihre Truppen ohne jede Verzögerung {player[2].country_name#FROM_SOMEWHERE} abziehen."
DIP_DETAILS_REQUEST_WITHDRAW_TROOPS_FROM_ALLIE_EX_4  "Als Gegenleistung verlangen wir den vollständigen Abzug Ihrer Truppen {player[2].country_name#FROM_SOMEWHERE}. Wir sind mit diesem Land verbündet und daher genießt es unserem uneingeschränkten Schutz."
DIP_DETAILS_OFFER_INVADE_0  "Wir sind bereit, so schnell wie möglich {player[2].country_name#TO_SOMEWHERE} einzumarschieren."
DIP_DETAILS_OFFER_INVADE_1  "Zum Wohle unserer Freundschaft sind wir bereit, in das Land Ihres Feindes, {player[2].country_name#TO_SOMEWHERE}, einzumarschieren."
DIP_DETAILS_OFFER_INVADE_2  "Wir bieten Ihnen ergebenst unseren Einmarsch {player[2].country_name#TO_SOMEWHERE} an. Vielleicht können wir Ihnen damit behilflich sein."
DIP_DETAILS_OFFER_INVADE_3  "Wir sind bereit, {player[2].country_name#TO_SOMEWHERE} einzumarschieren, denn Sie können offensichtlich Unterstützung gebrauchen."
DIP_DETAILS_OFFER_INVADE_4  "Wir sind bereit, {player[2].country_name#TO_SOMEWHERE} einzumarschieren."
